Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,F1 (Test),Specificity (Test),ROC-AUC (Test),CV F1 Mean,CV F1 Std
CatBoost - Baseline,0.865,0.822,0.7951158940397351,0.7161084529505582,0.7665602553870711,0.7161084529505582,0.7805770012190166,0.7161084529505582,0.8703568827385287,0.8782349504164967,0.7356217282149242,0.018891414851908844
CatBoost - Weighted,0.85275,0.812,0.7243243243243244,0.6684563758389261,0.8555466879489226,0.7942583732057417,0.7844859129162093,0.7259475218658892,0.8201019664967225,0.8801516138887243,0.7447500026365594,0.010937951941414495
CatBoost - Tuned (no weights),0.844,0.828,0.7603476821192053,0.7293354943273906,0.7330407023144453,0.7177033492822966,0.7464445347419748,0.7234726688102894,0.8783685360524399,0.8811749960214712,0.7382542013175432,0.023910885044512147
CatBoost - Weighted + Tuned,0.830625,0.8145,0.6927973199329983,0.6671018276762402,0.825219473264166,0.8149920255183413,0.7532325623747951,0.7336683417085427,0.8142753095411508,0.8812539857888116,0.7496949547934401,0.008761840493075726
