,3
Model,CatBoost - Weighted + Tuned
Train Accuracy,0.830625
Test Accuracy,0.8145
Train Precision,0.6927973199329983
Test Precision,0.6671018276762402
Train Recall,0.825219473264166
Test Recall,0.8149920255183413
Train F1,0.7532325623747951
F1 (Test),0.7336683417085427
Specificity (Test),0.8142753095411508
ROC-AUC (Test),0.8812539857888116
CV F1 Mean,0.7496949547934401
CV F1 Std,0.008761840493075726
