Model,Train Accuracy,Test Accuracy,Train Precision,Test Precision,Train Recall,Test Recall,Train F1,F1 (Test),Specificity (Test),ROC-AUC (Test),CV F1 Mean,CV F1 Std
RandomForest - Baseline,0.999,0.8,0.9984038308060654,0.6946826758147513,0.9984038308060654,0.645933014354067,0.9984038308060654,0.6694214876033058,0.8703568827385287,0.8506698448431879,0.6998476746698408,0.018188538614310124
RandomForest - SMOTE (Untuned),0.9992719330178377,0.808,0.9985459832788077,0.6969205834683955,1.0,0.6858054226475279,0.9992724627137141,0.6913183279742765,0.8638018936635106,0.8539978695995104,0.8643881887986355,0.06351978783093667
RandomForest - Tuned (No SMOTE),0.88125,0.823,0.8288250211327134,0.7256198347107438,0.7825219473264166,0.7001594896331739,0.805008210180624,0.7126623376623377,0.8790968681718864,0.8725000609847469,0.7320080260893574,0.020476328606740736
RandomForest - SMOTE + Tuned,0.9263742264288315,0.821,0.9247506799637353,0.702865761689291,0.9282854022570076,0.7432216905901117,0.9265146698156054,0.7224806201550388,0.8565185724690458,0.86801623007396,0.8708257348742657,0.050927030590517064
