iter	Passed	Remaining
359	18519	7201
360	18558	7145
361	18608	7093
362	18664	7044
363	18705	6988
364	18752	6935
365	18800	6883
366	18851	6831
367	18902	6780
368	18957	6729
369	19011	6679
370	19063	6628
371	19118	6578
372	19153	6521
373	19208	6471
374	19267	6422
375	19323	6372
376	19378	6322
377	19436	6273
378	19490	6222
379	19519	6164
380	19568	6111
381	19619	6060
382	19670	6009
383	19736	5961
384	19796	5913
385	19849	5862
386	19898	5810
387	19947	5758
388	19996	5705
389	20058	5657
390	20119	5608
391	20173	5557
392	20221	5505
393	20268	5452
394	20305	5397
395	20356	5346
396	20416	5297
397	20472	5246
398	20518	5193
399	20579	5144
400	20640	5095
401	20692	5044
402	20748	4993
403	20815	4946
404	20879	4897
405	20929	4845
406	20978	4793
407	21032	4742
408	21081	4690
409	21129	4638
410	21180	4586
411	21221	4532
412	21272	4481
413	21344	4433
414	21401	4383
415	21458	4332
416	21505	4280
417	21554	4228
418	21606	4177
419	21671	4127
420	21730	4077
421	21784	4026
422	21833	3974
423	21885	3922
424	21938	3871
425	21991	3820
426	22060	3771
427	22128	3722
428	22307	3691
429	22398	3646
430	22471	3597
431	22523	3545
432	22589	3495
433	22638	3442
434	22689	3390
435	22747	3339
436	22794	3286
437	22844	3233
438	22893	3181
439	22943	3128
440	22971	3073
441	23020	3020
442	23066	2967
443	23101	2913
444	23153	2861
445	23202	2809
446	23249	2756
447	23299	2704
448	23347	2651
449	23398	2599
450	23451	2547
451	23480	2493
452	23528	2441
453	23580	2389
454	23641	2338
455	23695	2286
456	23748	2234
457	23776	2180
458	23828	2128
459	23881	2076
460	23929	2024
461	23959	1970
462	24007	1918
463	24053	1866
464	24103	1814
465	24154	1762
466	24205	1710
467	24262	1658
468	24313	1607
469	24361	1554
470	24405	1502
471	24452	1450
472	24500	1398
473	24550	1346
474	24598	1294
475	24644	1242
476	24699	1190
477	24746	1138
478	24792	1086
479	24823	1034
480	24871	982
481	24923	930
482	24952	878
483	25002	826
484	25043	774
485	25096	722
486	25145	671
487	25188	619
488	25237	567
489	25288	516
490	25339	464
491	25392	412
492	25442	361
493	25470	309
494	25517	257
495	25565	206
496	25614	154
497	25661	103
498	25709	51
499	25757	0
