iter	Logloss
0	0.6866167385
1	0.6799234091
2	0.6733739103
3	0.666950687
4	0.6606948716
5	0.6545902765
6	0.6486344768
7	0.6428414435
8	0.6372065759
9	0.6317312997
10	0.6263496195
11	0.6211134867
12	0.6163336328
13	0.6119863886
14	0.6071338924
15	0.6023717261
16	0.598269665
17	0.5937597689
18	0.5893295707
19	0.5850210305
20	0.5808643651
21	0.5770191121
22	0.5730458848
23	0.5691373985
24	0.5653292349
25	0.5616267391
26	0.5580227748
27	0.5545038605
28	0.5512988317
29	0.5479876664
30	0.5447645103
31	0.5415886721
32	0.5385105072
33	0.5355097241
34	0.5325921427
35	0.5297766898
36	0.527922782
37	0.5251897589
38	0.5226541467
39	0.5200395977
40	0.5179139428
41	0.5155312262
42	0.5131111364
43	0.510740624
44	0.5088382382
45	0.5065605231
46	0.5043667314
47	0.5021632344
48	0.5000768087
49	0.498283301
50	0.4963244289
51	0.4946682804
52	0.4929730375
53	0.4911127979
54	0.4894257606
55	0.4876328216
56	0.4861043779
57	0.4846478945
58	0.4833428228
59	0.4819051015
60	0.4804758348
61	0.4791804497
62	0.4780691187
63	0.4770750038
64	0.4756237681
65	0.4745287131
66	0.4732136299
67	0.4722198838
68	0.4711382465
69	0.4701557564
70	0.4688263991
71	0.4676566741
72	0.4667731087
73	0.4660292724
74	0.4647751399
75	0.4636893619
76	0.4628366194
77	0.4619935893
78	0.4610083184
79	0.4601335164
80	0.4595402511
81	0.4586995232
82	0.4578956809
83	0.4571841033
84	0.4562333422
85	0.4552865877
86	0.4544944878
87	0.453545325
88	0.4527743883
89	0.4518875574
90	0.4511762274
91	0.4505213561
92	0.4498659445
93	0.4492223796
94	0.448355035
95	0.4476965852
96	0.4471659161
97	0.4466989063
98	0.4463195002
99	0.4454271394
100	0.4445679851
101	0.4439232491
102	0.4433739233
103	0.4427848637
104	0.4421465607
105	0.4417516141
106	0.4411108282
107	0.4403936977
108	0.4398483702
109	0.4394107176
110	0.4386660099
111	0.4381567276
112	0.4376791493
113	0.4371450175
114	0.4365731323
115	0.4361134853
116	0.4355065584
117	0.43498548
118	0.4344053114
119	0.4339204085
120	0.4336760772
121	0.4330438979
122	0.4324177571
123	0.4318359852
124	0.4313814038
125	0.4308917031
126	0.4303630795
127	0.4300358939
128	0.4295737685
129	0.4290272353
130	0.4286473768
131	0.4282575475
132	0.4279070026
133	0.427510986
134	0.4271304367
135	0.4267942142
136	0.4264204884
137	0.4260283001
138	0.425669561
139	0.4253378651
140	0.4249706141
141	0.4245952903
142	0.4243464133
143	0.4240415993
144	0.4236452455
145	0.4233391789
146	0.4228989819
147	0.4224857466
148	0.4221038951
149	0.4218258492
150	0.4214970748
151	0.4211106212
152	0.4207224599
153	0.4203766202
154	0.4200137236
155	0.4196533472
156	0.4194385965
157	0.4191029978
158	0.4188412647
159	0.4186351839
160	0.4184385879
161	0.418066479
162	0.4177403911
163	0.4173678754
164	0.4171311343
165	0.4169256979
166	0.4166481169
167	0.4162728897
168	0.4159391043
169	0.4156393131
170	0.4154626918
171	0.415272857
172	0.4149555946
173	0.4147730694
174	0.4145638555
175	0.4142938928
176	0.4140099541
177	0.4137109576
178	0.4134678891
179	0.4133618872
180	0.41317348
181	0.4128958471
182	0.4126631206
183	0.4124114095
184	0.4121432772
185	0.4119692906
186	0.4117382706
187	0.4115258238
188	0.4113546792
189	0.4111439984
190	0.4110577079
191	0.410823067
192	0.4106364318
193	0.4105312042
194	0.4103147008
195	0.4101050188
196	0.4098436796
197	0.4097272344
198	0.4095672702
199	0.4094279003
200	0.4092301812
201	0.4090431723
202	0.4089170849
203	0.4087936688
204	0.4086669132
205	0.4084822553
206	0.4083005155
207	0.4081558045
208	0.4079098551
209	0.4078666053
210	0.4077102734
211	0.4074727881
212	0.4072799819
213	0.4071773587
214	0.407078581
215	0.4069051151
216	0.4067445878
217	0.4065546852
218	0.4064434569
219	0.4063180502
220	0.4061033862
221	0.4059666428
222	0.4058416881
223	0.4056450989
224	0.4054937041
225	0.4054465641
226	0.405364726
227	0.4052526102
228	0.4051292983
229	0.404942445
230	0.4048546205
231	0.4046978016
232	0.4045837118
233	0.4044804117
234	0.404374722
235	0.4043042125
236	0.4042094988
237	0.4040797374
238	0.4039577854
239	0.4039120712
240	0.4038297101
241	0.4036502244
242	0.4035306163
243	0.4033927234
244	0.403290736
245	0.403144234
246	0.4030041237
247	0.4029109256
248	0.4028498339
249	0.4027844017
250	0.4026863043
251	0.4024846515
252	0.4024627215
253	0.4023487566
254	0.4022539037
255	0.4021782544
256	0.4020603591
257	0.4019445845
258	0.4018910335
259	0.4017759748
260	0.4017319238
261	0.4016084825
262	0.4015602466
263	0.4014446958
264	0.401381665
265	0.4012684747
266	0.4011836342
267	0.4010910203
268	0.4009864256
269	0.400838587
270	0.4007547033
271	0.4006972887
272	0.4005667787
273	0.4004458071
274	0.4003531516
275	0.4001811724
276	0.4001268152
277	0.4000488003
278	0.3999799992
